baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PAxG01Ag0012300_PAxG01Bg0011300	31.0507756195253	-3.59413931017134	0.34114825686878	-10.5354174843514	5.93194785923084e-26	2.93739388104311e-25
PAxG01Ag0012600_PAxG01Bg0011500	1.82950249558297	-4.01103670230436	0.49649650777437	-8.07868059391699	6.5471261570457e-16	2.49427170315786e-15
PAxG01Ag0012800_PAxG01Bg0011700	207.197060211337	-0.263273112421261	0.0461840583817377	-5.70051921910279	1.19443064956441e-08	3.37255296351366e-08
PAxG01Ag0013300_PAxG01Bg0012400	1006.91891016253	-5.56307323957841	0.442857060687836	-12.5617806136769	3.42536205593393e-36	2.04416767854122e-35
PAxG01Ag0014000_PAxG01Bg0012500	339.235210308278	-0.216695926385546	0.0628153590217181	-3.44972837472162	0.00056115086488614	0.0011177100560286
PAxG01Ag0014300_PAxG01Bg0013000	459.505471726202	-0.383240148878889	0.0729038451358038	-5.25678924294044	1.46592143183475e-07	3.880873853598e-07
PAxG01Ag0017300_PAxG01Bg0015600	178.531339864349	-0.461938830414819	0.116512564914178	-3.96471256773961	7.34844387701571e-05	0.000159861490739406
PAxG01Ag0017600_PAxG01Bg0015900	163.182945746864	-1.95438602986964	0.146533118608648	-13.3375038245743	1.40071628959717e-40	8.89878137278423e-40
PAxG01Ag0019200_PAxG01Bg0017000	1784.50024786679	-0.614282672978689	0.0957448188981029	-6.41583200060614	1.40055830358334e-10	4.34737057320331e-10
PAxG01Ag0019400_PAxG01Bg0017400	287.903990652814	-0.864325687907779	0.042165103745313	-20.4986021883998	2.21566790241603e-93	2.41685472846088e-92
PAxG01Ag0019600_PAxG01Bg0017600	26.8216274894307	-1.11938675618024	0.213575485006732	-5.24117623399035	1.59556236087375e-07	4.2048295834992e-07
PAxG01Ag0021900_PAxG01Bg0020000	58.9120366359574	-0.554010017677952	0.116455487792563	-4.75726844805105	1.96230141224257e-06	4.80447010673471e-06
PAxG01Ag0022100_PAxG01Bg0020300	76.663566581117	-1.29466249277472	0.244967837336381	-5.28503050380829	1.2568381283643e-07	3.34265459671356e-07
PAxG01Ag0022300_PAxG01Bg0020500	45.4927173259518	-0.912468783202174	0.107923220674953	-8.45479571027982	2.7957639901362e-17	1.10800415204627e-16
PAxG01Ag0022500_PAxG01Bg0020700	116.164884501874	-0.408995996251695	0.0579511555142526	-7.05759863841034	1.69404512083916e-12	5.70229889656559e-12
PAxG01Ag0022600_PAxG01Bg0020800	171.087352908091	-0.252706713553291	0.053866121111693	-4.69138501785373	2.71361761324406e-06	6.60551655855463e-06
PAxG01Ag0024100_PAxG01Bg0022200	139.672360427959	-0.170033634194433	0.0647938874636905	-2.6242233773937	0.00868468065743597	0.015162947542711
PAxG01Ag0024400_PAxG01Bg0022400	417.302685289602	-0.627322339742094	0.0602812106957028	-10.40659821696	2.31341062860495e-25	1.12983359633557e-24
PAxG01Ag0025000_PAxG01Bg0023000	317.3010153877	-0.499586459434806	0.208217689957416	-2.39934685442423	0.0164243485642318	0.0275027560136032
PAxG01Ag0025700_PAxG01Bg0023800	366.703448460184	-0.5962515943666	0.148683980557172	-4.01019391687143	6.06689010328195e-05	0.000132919785540876
PAxG01Ag0025800_PAxG01Bg0023900	907.702281961507	-0.803760290614811	0.230187839401469	-3.49175826448842	0.000479852314051759	0.000960743269475925
PAxG01Ag0026100_PAxG01Bg0024100	93.5324375232849	-1.27702896323913	0.0833622128321326	-15.3190386849578	5.70550938505285e-53	4.22207694493911e-52
PAxG01Ag0026300_PAxG01Bg0024300	908.665441630802	-1.03997906990303	0.0626884286637461	-16.5896496701387	8.28019287898679e-62	6.80211226737369e-61
PAxG01Ag0026500_PAxG01Bg0024600	36.3879441157686	-3.09660747369599	0.123657103113846	-25.041889189698	2.13978648763288e-138	3.06393576015544e-137
PAxG01Ag0026800_PAxG01Bg0025000	54.2529114948207	-1.07402268168672	0.160924991908751	-6.67405770196171	2.48825708234951e-11	7.99179792074060e-11
PAxG01Ag0026900_PAxG01Bg0025100	44.4873308459439	-0.949563954605088	0.0881315224251091	-10.7743963621188	4.54755149902532e-27	2.28862085777934e-26
PAxG01Ag0027500_PAxG01Bg0025500	79.2435701588889	-1.48917620141699	0.0747830037252808	-19.9132975039029	3.12081521238841e-88	3.280402353931e-87
PAxG01Ag0027600_PAxG01Bg0025600	503.845606086918	-1.30391054753558	0.112920560441534	-11.5471490970034	7.63099073483889e-31	4.08015400562195e-30
PAxG01Ag0027700_PAxG01Bg0025700	310.036824420971	-0.678976511617848	0.100275476014131	-6.77111232583095	1.27796002627922e-11	4.15944062036691e-11
PAxG01Ag0027900_PAxG01Bg0025900	214.603519728073	-0.337198195339128	0.0569832150818892	-5.91750035259591	3.26871160819479e-09	9.48418518688888e-09
PAxG01Ag0028600_PAxG01Bg0026300	455.780083233157	-1.16432649760399	0.0539718036115246	-21.5728661948101	3.23045064443044e-103	3.75397844987206e-102
PAxG01Ag0029100_PAxG01Bg0026700	29.0705201726879	-0.417832471781914	0.136516939807752	-3.06066391738873	0.0022084683687503	0.00414199765023121
